,Unnamed: 0,_id,similarity,ltable_id,rtable_id,ltable_title,ltable_release_day,ltable_release_year,ltable_esrb,ltable_genre,ltable_publisher,ltable_developer,rtable_title,rtable_release_day,rtable_release_year,rtable_esrb,rtable_genre,rtable_publisher,rtable_developer
53,641,641,0.55,1318,810,Tales of Monkey Island -- Chapter 2: The Siege of Spinner Cay,August 20,2009,E10+,Adventure,Telltale Games,Telltale Games,Tales of Monkey Island Chapter 5: Rise of the Pirate God,Dec  8,2009,E10+,Adventure,Telltale Games,Telltale Games
54,648,648,0.5454545454545454,296,1941,Broken Age: Act 2,Q1 ,2015,E10+,Adventure,Double Fine Productions,Double Fine Productions,Headlander,Jul 26,2016,T,Action,Double Fine Productions,Double Fine Productions
55,657,657,0.5454545454545454,1105,636,Prince of Persia: The Forgotten Sands,May 18,2010,T,Action,Ubisoft,Ubisoft Montreal,Prince of Persia: Warrior Within,Nov 30,2004,M,Action Adventure,Ubisoft,Ubisoft Montreal
56,658,658,0.5454545454545454,2375,670,Dragon Age: Origins -- Darkspawn Chronicles,May 18,2010,M,RPG,Electronic Arts,BioWare,Dragon Age: Origins - Awakening,Mar 16,2010,M,Role-Playing,Electronic Arts,BioWare
57,671,671,0.5454545454545454,175,2330,Mass Effect 2: Overlord,June 15,2010,M,RPG,Electronic Arts,BioWare,Mass Effect 2: Kasumi - Stolen Memory,Apr  6,2010,M,Role-Playing,Electronic Arts,BioWare
58,680,680,0.5454545454545454,2042,463,DC Universe Online,January 11,2011,T,RPG,Sony Online Entertainment,Sony Online Entertainment,PlanetSide 2,Nov 20,2012,T,Role-Playing,Sony Online Entertainment,Sony Online Entertainment
59,687,687,0.5454545454545454,602,519,Fallout 3 -- Point Lookout,June 23,2009,M,Action,Bethesda  Softworks,Bethesda Game Studios,Fallout 4,Nov 10,2015,M,General,Bethesda Softworks,Bethesda Game Studios
60,689,689,0.5454545454545454,729,519,Fallout 3 -- Broken Steel,May 5,2009,M,Action,Bethesda  Softworks,Bethesda Game Studios,Fallout 4,Nov 10,2015,M,General,Bethesda Softworks,Bethesda Game Studios
61,734,734,0.5454545454545454,2200,2312,Wildlife Park,Dec 8,2003,E,Simulation,JoWooD Entertainment AG,JoWooD Entertainment AG,Industry Giant II,Aug 30,2002,E,Strategy,JoWooD Entertainment AG,JoWooD Entertainment AG
62,746,746,0.5384615384615384,476,515,Day of the Tentacle: Remastered,March 22,2016,T,Adventure,Double Fine Productions,Double Fine Productions,Grim Fandango Remastered,Jan 27,2015,,Adventure,Double Fine Productions,Double Fine Productions
63,755,755,0.5384615384615384,1068,1790,The Sims 2: Bon Voyage,September 4,2007,T,Simulation,Electronic Arts,EA Redwood Shores Studio,The Sims 3: Ambitions,Jun  1,2010,T,Simulation,Electronic Arts,EA Redwood Shores
64,757,757,0.5384615384615384,1751,120,Command & Conquer: Tiberian Sun -- Firestorm,Mar 8,2000,T,Strategy,Westwood Studios,Westwood Studios,Command & Conquer: Red Alert,Oct 31,1996,T,Strategy,Westwood Studios,Westwood Studios
65,774,774,0.5384615384615384,465,720,World of Warcraft: The Burning Crusade,January 16,2007,T,RPG,Blizzard Entertainment,Blizzard Entertainment,World of Warcraft: Mists of Pandaria,Sep 25,2012,T,Massively Multiplayer,Blizzard Entertainment,Blizzard Entertainment
66,785,785,0.5384615384615384,2082,3098,Fallout 3 -- Mothership Zeta,August 3,2009,M,Action,Bethesda  Softworks,Bethesda Game Studios,Fallout 3 - Operation: Anchorage,Jan 27,2009,M,Role-Playing,Bethesda Softworks,Bethesda Game Studios
67,795,795,0.5238095238095238,1902,675,Tales of Monkey Island -- Chapter 4: The Trial and Execution of Guybrush Threepwood,October 7,2009,E10+,Adventure,Telltale Games,Telltale Games,Tales of Monkey Island Chapter 3: Lair of the Leviathan,Sep 29,2009,E10+,Adventure,Telltale Games,Telltale Games
68,798,798,0.5,268,1227,Left 4 Dead,November 17,2008,M,Shooter,Electronic Arts,Valve,Left 4 Dead: Crash Course,Sep 29,2009,M,Action,Electronic Arts,Valve Software
69,810,810,0.5,84,743,Child of Light,April 30,2014,E10+,RPG,Ubisoft,Ubisoft Montreal,Prince of Persia,Dec  9,2008,T,Action Adventure,Ubisoft,Ubisoft Montreal
70,815,815,0.5,1565,3847,Crusader Kings,September 28,2004,E,Strategy,Paradox  Interactive,Paradox  Interactive,Dark Horizon,Oct 13,2008,E10+,Simulation,Paradox Interactive,Paradox Interactive
71,818,818,0.5,75,445,Tony Hawk's Pro Skater 3,Mar 28,2002,T,Sports,Activision,Neversoft Entertainment,Tony Hawk's Underground 2,Oct  4,2004,T,Sports,Activision,Neversoft Entertainment
72,835,835,0.5,432,833,Rome: Total War -- Barbarian Invasion,September 27,2005,T,Strategy,SEGA,Creative Assembly,Napoleon: Total War,Feb 23,2010,T,Strategy,Sega,Creative Assembly
73,848,848,0.5,2212,769,Spacebase DF-9,October 15,2013(EarlyAccess,,Simulation,Double Fine Productions,Double Fine Productions,Broken Age: Act 1,Jan 28,2014,,Adventure Games,Double Fine Productions,Double Fine Productions
74,858,858,0.5,2033,226,Tom Clancy's EndWar,February 24,2009,T,Strategy,Ubisoft,Ubisoft Shanghai,Tom Clancy's Splinter Cell: Pandora Tomorrow,Mar 23,2004,T,Action Adventure,Ubisoft,Ubisoft Shanghai
75,873,873,0.5,1029,1509,Quake 4,October 18,2005,M,Shooter,Activision,Raven Software,Singularity,Jun 29,2010,M,Action,Activision,Raven Software
76,888,888,0.5,405,119,Medieval: Total War,Sep 21,2002,T,Strategy,Activision,Creative Assembly,Empire: Total War,Mar  3,2009,T,Strategy,Sega,Creative Assembly
77,902,902,0.5,1697,712,Fallout: New Vegas -- Honest Hearts,May 17,2011,M,RPG,Bethesda  Softworks,Obsidian Entertainment,Fallout: New Vegas - Old World Blues,Jul 19,2011,M,Role-Playing,Bethesda Softworks,Obsidian Entertainment
78,906,906,0.5,2306,2617,Gumboy Tournament,May 19,2008,,Action,Cinemax,Cinemax,Gumboy Crazy Adventures,Dec 19,2006,,Action,Cinemax,Cinemax
79,928,928,0.5,1096,527,Sid Meier's Railroads!,October 17,2006,E,Simulation,2K Games,Firaxis,Sid Meier's Civilization IV: Warlords,Jul 24,2006,E10+,Strategy,2K Games,Firaxis Games
80,931,931,0.5,692,1178,Invisible Inc.,May 12,2015,,Strategy,Klei Entertainment,Klei Entertainment,Don't Starve,Apr 23,2013,,Action Adventure,Klei Entertainment,Klei Entertainment
81,964,964,0.5,1504,515,Hack 'n' Slash,September 9,2014,,RPG,Double Fine Productions,Double Fine Productions,Grim Fandango Remastered,Jan 27,2015,,Adventure,Double Fine Productions,Double Fine Productions
82,987,987,0.5,477,691,Dragon Age: Inquisition,November 18,2014,M,RPG,Electronic Arts,BioWare,Dragon Age II,Mar  8,2011,M,Role-Playing,Electronic Arts,BioWare
83,1000,1000,0.5,1228,430,Anachronox,Jun 27,2001,T,RPG,Eidos Interactive,Ion Storm,Thief: Deadly Shadows,May 25,2004,M,Action Adventure,Eidos Interactive,Ion Storm
84,1008,1008,0.5,772,396,America's Army 3,June 17,2009,T,Shooter,U.S. Army,U.S. Army,America's Army: Special Forces,Nov  6,2003,T,Action,U.S. Army,U.S. Army
85,1019,1019,0.5,2072,314,Mass Effect 2: Arrival,March 29,2011,M,RPG,Electronic Arts,BioWare,Mass Effect 2: Lair of the Shadow Broker,Sep  7,2010,M,Role-Playing,Electronic Arts,BioWare
86,1033,1033,0.5,379,3371,Commandos 3: Destination Berlin,Oct 14,2003,T,Strategy,Eidos Interactive,Pyro Studios,Commandos Strike Force,Apr  4,2006,T,Action,Eidos Interactive,Pyro Studios
87,1047,1047,0.5,1024,414,Frozen Cortex,February 19,2015,RP,Strategy,Mode 7 Games,Mode 7 Games,Frozen Synapse,May 26,2011,,Strategy,Matrix Games,Mode 7 Games
88,1071,1071,0.5,3032,1294,Call of Juarez: The Cartel,September 13,2011,M,Shooter,Ubisoft,Techland,Call of Juarez: Bound in Blood,Jun 30,2009,M,Action,Ubisoft,Techland
89,1076,1076,0.5,158,408,World of Warcraft,November 22,2004,T,RPG,Blizzard Entertainment,Blizzard Entertainment,Hearthstone: League of Explorers,Dec 10,2015,,Strategy,Blizzard Entertainment,Blizzard Entertainment
90,1090,1090,0.5,3173,2198,Zoo Tycoon 2: African Adventure,May 16,2006,E10+,Simulation,Microsoft,Blue Fang Games,Zoo Tycoon 2,Nov 11,2004,E,Strategy,Microsoft Game Studios,Blue Fang Games
91,1098,1098,0.5,552,348,StarCraft II: Heart of the Swarm,March 12,2013,RP-T+,Strategy,Blizzard Entertainment,Blizzard Entertainment,Heroes of the Storm,Jun  2,2015,T,Action,Blizzard Entertainment,Blizzard Entertainment
92,1122,1122,0.5,1365,1010,Tales of Monkey Island -- Chapter 1: Launch of the Screaming Narwhal,July 8,2009,E,Adventure,Telltale Games,Telltale Games,Tales of Monkey Island Chapter 4: The Trial and Execution of Guybrush Threepwood,Oct 30,2009,E10+,Adventure,Telltale Games,Telltale Games
93,1128,1128,0.5,2513,3658,Taz: Wanted,Sep 18,2002,E,Platformer,Infogrames,Blitz Games,Zapper,Oct  9,2002,E,Action,Infogrames,Blitz Games
94,1130,1130,0.5,2380,2957,KickBeat,January 20,2014,T,Music,Zen Studios,Zen Studios,KickBeat: Steam Edition,Jan 20,2014,T,Action,Zen Studios,Zen Studios
95,1141,1141,0.5,1337,1323,Fallout 4: Nuka World,August 29,2016,M,RPG,Bethesda  Softworks,Bethesda Game Studios,Fallout 3: The Pitt,Mar 24,2009,M,Role-Playing,Bethesda Softworks,Bethesda Game Studios
96,1162,1162,0.5,3037,2837,MindHabits,August 14,2008,E,Productivity,Got Game Entertainment,,Scratches,Mar  8,2006,T,Adventure,Got Game Entertainment,Nucleosys
97,1164,1164,0.5,1862,463,EverQuest II: Sentinel's Fate,February 16,2010,T,RPG,Sony Online Entertainment,Sony Online Entertainment,PlanetSide 2,Nov 20,2012,T,Role-Playing,Sony Online Entertainment,Sony Online Entertainment
98,1167,1167,0.5,821,3215,Sid Meier's Civilization IV: Warlords,July 24,2006,E10+,Strategy,2K Games,Firaxis,Sid Meier's Starships,Mar 12,2015,,Strategy,2K Games,Firaxis Games
99,1168,1168,0.5,2767,1988,The Sims Medieval: Pirates and Nobles,August 30,2011,T,Simulation,Electronic Arts,The Sims Studio,The Sims 3: Island Paradise,Jun 25,2013,T,Simulation,Electronic Arts,The Sims Studio
100,1175,1175,0.5,1816,877,Nancy Drew: Ransom of the Seven Ships,July 14,2009,E,Adventure,Her Interactive,Her Interactive,Nancy Drew: Curse of Blackmoor Manor,Oct  5,2004,E,Adventure,Her Interactive,Her Interactive
101,1206,1206,0.5,1187,197,Rome: Total War -- Alexander,June 19,2006,T,Strategy,SEGA,Creative Assembly,Medieval II: Total War,Nov 13,2006,T,Strategy,Sega,Creative Assembly
102,1207,1207,0.5,345,369,Hearthstone: Heroes of WarCraft,March 11,2014,T,Card,Blizzard Entertainment,Blizzard Entertainment,Hearthstone: Whispers of the Old Gods,Apr 26,2016,,Strategy,Blizzard Entertainment,Blizzard Entertainment
103,1242,1242,0.5,289,3721,Dragon Age: Origins (Collector's Edition),November 3,2009,M,RPG,Electronic Arts,BioWare,Dragon Age: Origins - Golems of Amgarrak,Aug 10,2010,M,Role-Playing,Electronic Arts,BioWare
104,1247,1247,0.5,2118,2851,Tank Universal,August 21,2008,RP,Action,Meridian4,Dialogue Design,Tank Universal: Challenger Eight,Aug 21,2008,,Action,Meridian4,Dialogue Design
105,1250,1250,0.5,2100,671,Total War Battles: Shogun,August 29,2012,,Strategy,SEGA,Creative Assembly,Rome: Total War Barbarian Invasion,Sep 27,2005,T,Strategy,Sega,Creative Assembly
106,1253,1253,0.5,1895,142,The Walking Dead: Michonne -- Episode 2: Give No Shelter,March 29,2016,M,Adventure,Telltale Games,Telltale Games,The Walking Dead: Episode 5 - No Time Left,Nov 21,2012,M,Miscellaneous,Telltale Games,Telltale Games
107,1263,1263,0.5,2350,3224,The LEGO Movie Videogame,February 7,2014,E10+,Action,Warner Bros.  Interactive,TT Games,LEGO Marvel's Avengers,Jan 26,2016,E10+,Action Adventure,Warner Bros. Interactive Entertainment,TT Games
108,1269,1269,0.5,198,1175,EverQuest: Omens of War,September 14,2004,T,RPG,Sony Online Entertainment,Sony Online Entertainment,Free Realms,Apr 29,2009,E10+,Role-Playing,Sony Online Entertainment,Sony Online Entertainment
109,1302,1302,0.4705882352941176,100,3172,The Walking Dead: A Telltale Game Series -- Season One,April 24,2012[Episode1Launch],M,Adventure,Telltale Games,Telltale Games,Game of Thrones: A Telltale Games Series,Nov 17,2015,M,Action,Telltale Games,Telltale Games
110,1304,1304,0.4705882352941176,2801,3521,Magic Online III,April 16,2008,T,Card,Wizards of the Coast,Wizards of the Coast,Magic: Duels of the Planeswalkers 2015,Jul 16,2014,T,Strategy,Wizards of the Coast,Wizards of the Coast
111,1327,1327,0.4666666666666667,964,748,EverQuest II: Desert of Flames,September 12,2005,T,RPG,Sony Online Entertainment,Sony Online Entertainment,EverQuest: The Scars of Velious,Dec  4,2000,T,Role-Playing,Sony Online Entertainment,Sony Online Entertainment
112,1329,1329,0.4666666666666667,1103,2682,Crown of Glory,June ,2005,,Strategy,Matrix Games,Western Civilization Software,Crown of Glory: Europe in the Age of Napoleon,Jun 30,2005,,Strategy,Matrix Games,Western Civilization Software
113,1333,1333,0.4666666666666667,1499,862,EverQuest II: Kingdom of Sky,February 21,2006,T,RPG,Sony Online Entertainment,Sony Online Entertainment,EverQuest: The Planes of Power,Oct 28,2002,T,Role-Playing,Sony Online Entertainment,Sony Online Entertainment
114,1384,1384,0.4615384615384616,2389,3023,Cossacks: Back to War,Oct 31,2002,T,Strategy,cdv Software Entertainment,GSC Game World,American Conquest: Fight Back,Sep 29,2003,T,Strategy,cdv Software,GSC Game World
115,1393,1393,0.4615384615384616,1054,1232,Rise of Incarnates,July 1,2015,M,Fighting,Bandai Namco Games,Bandai Namco Games,Pac-Man Championship Edition 2,Sep 13,2016,E,Action,Bandai Namco Games,Bandai Namco Games
116,1406,1406,0.4615384615384616,807,2573,Final Fantasy XI: Treasures of Aht Urhgan,April 18,2006,T,RPG,Square Enix,Square Enix,Final Fantasy Type-0 HD,Aug 18,2015,M,Role-Playing,Square Enix,Square Enix
117,1416,1416,0.4615384615384616,2330,680,Tom Clancy's Rainbow Six: Lockdown,February 14,2006,M,Shooter,Ubisoft,Red Storm Entertainment,Tom Clancy's Ghost Recon: Desert Siege,Mar 27,2002,M,Action,Ubisoft,Red Storm Entertainment
118,1417,1417,0.4615384615384616,1004,502,Age of Empires III: The WarChiefs,October 17,2006,T,Strategy,Microsoft,Ensemble Studios,Age of Mythology: The Titans,Sep 30,2003,T,Strategy,Microsoft Game Studios,Ensemble Studios
119,1418,1418,0.4615384615384616,977,502,Age of Empires II: The Conquerors,Aug 25,2000,T,Strategy,Microsoft,Ensemble Studios,Age of Mythology: The Titans,Sep 30,2003,T,Strategy,Microsoft Game Studios,Ensemble Studios
120,1422,1422,0.4615384615384616,852,2431,The Sims 3: World Adventures,November 17,2009,T,Simulation,Electronic Arts,The Sims Studio,The Sims 3: Generations,May 31,2011,T,Simulation,EA Games,The Sims Studio
121,1431,1431,0.4615384615384616,1738,984,The Sims 3: Late Night,October 26,2010,T,Simulation,Electronic Arts,The Sims Studio,The Sims 3: Into the Future,Oct 22,2013,T,Simulation,Electronic Arts,Maxis
122,1432,1432,0.4615384615384616,274,28,World of Warcraft: Wrath of the Lich King,November 13,2008,T,RPG,Blizzard Entertainment,Blizzard Entertainment,World of Warcraft,Nov 23,2004,T,Role-Playing,Blizzard Entertainment,Blizzard Entertainment
123,1434,1434,0.4615384615384616,427,3143,Free Realms,April 29,2009,E10+,RPG,Sony Online Entertainment,Sony Online Entertainment,Star Wars: Clone Wars Adventures,Oct 19,2010,E10+,Role-Playing,Sony Online Entertainment,Sony Online Entertainment
124,1442,1442,0.4615384615384616,812,1175,EverQuest II: Echoes of Faydwer,November 14,2006,T,RPG,Sony Online Entertainment,Sony Online Entertainment,Free Realms,Apr 29,2009,E10+,Role-Playing,Sony Online Entertainment,Sony Online Entertainment
